empresa,sector,gestion,trimestre,liquidez_corriente,endeudamiento,solvencia,endeudamiento_patrimonial,crecimiento_patrimonial,crecimiento_activos,score_financiero,clasificacion_financiera
NXS,Comercio,2025,1,3.044306,0.633406,1.578766,1.727813,-0.009381,0.015854,71,Saludable
NXS,Comercio,2025,2,2.852511,0.633706,1.578019,1.730048,0.017561,0.018395,73,Saludable
NXS,Comercio,2025,3,3.012853,0.645203,1.549899,1.818515,0.023841,0.057019,72,Saludable
NXS,Comercio,2025,4,2.437887,0.636518,1.571048,1.751166,0.031248,0.006606,74,Saludable
NXS,Comercio,2026,1,2.161448,0.665779,1.502,1.992031,0.004965,0.092949,69,Saludable
BPC,Eléctricas,2013,2,1.237504,0.147657,6.772453,0.173237,0.014992,0.008701,80,Excelente
BPC,Eléctricas,2013,3,0.996959,0.140032,7.141217,0.162834,0.013893,0.004904,68,Saludable
BPC,Eléctricas,2013,4,1.08329,0.147596,6.77527,0.173152,0.018224,0.027259,73,Saludable
BPC,Eléctricas,2014,1,1.657857,0.186957,5.348832,0.229947,-0.027811,0.019255,90,Excelente
BPC,Eléctricas,2014,2,1.270282,0.186232,5.369644,0.228852,0.016283,0.015377,82,Excelente
BPC,Eléctricas,2014,3,1.051826,0.176583,5.663064,0.214451,0.019186,0.007243,71,Saludable
BPC,Eléctricas,2014,4,1.882577,0.221405,4.516607,0.284365,0.011554,0.069787,93,Excelente
BPC,Eléctricas,2015,1,2.24972,0.208626,4.793259,0.263626,0.018071,0.001632,93,Excelente
BPC,Eléctricas,2015,3,2.06248,0.197255,5.069575,0.245726,0.005057,-0.009632,92,Excelente
BPC,Eléctricas,2016,3,1.549017,0.189877,5.266566,0.234381,0.008165,-0.018333,93,Excelente
BPC,Eléctricas,2016,4,2.043706,0.22402,4.463895,0.288692,-0.022925,0.020066,90,Excelente
BPC,Eléctricas,2017,1,2.245313,0.220033,4.544766,0.282106,-0.012754,-0.0178,91,Excelente
BPC,Eléctricas,2017,2,2.120193,0.216637,4.616011,0.276548,-0.000891,-0.005223,92,Excelente
BPC,Eléctricas,2017,3,1.933396,0.215111,4.64876,0.274066,-0.005423,-0.007357,92,Excelente
BPC,Eléctricas,2017,4,1.756952,0.215428,4.641917,0.274581,-0.004917,-0.004516,92,Excelente
BPC,Eléctricas,2018,1,1.612573,0.20844,4.797544,0.263328,-0.010092,-0.018831,91,Excelente
BPC,Eléctricas,2018,2,1.388543,0.206419,4.844524,0.26011,-0.010029,-0.012551,86,Excelente
BPC,Eléctricas,2018,3,1.381654,0.201712,4.957564,0.252681,0.001636,-0.004269,86,Excelente
BPC,Eléctricas,2018,4,1.206536,0.203377,4.916986,0.255298,-0.005865,-0.003788,77,Saludable
BPC,Eléctricas,2019,1,1.12877,0.201253,4.968875,0.251961,-0.014771,-0.017391,72,Saludable
BPC,Eléctricas,2019,2,1.109278,0.201076,4.973244,0.251683,-0.002806,-0.003027,72,Saludable
BPC,Eléctricas,2019,3,1.636249,0.194261,5.147712,0.241097,0.004058,-0.004434,92,Excelente
BPC,Eléctricas,2019,4,1.108254,0.20745,4.820447,0.26175,-0.032794,-0.016699,70,Saludable
BPC,Eléctricas,2020,1,0.735471,0.204356,4.893433,0.256843,0.011675,0.00774,58,Observación
BPC,Eléctricas,2020,2,0.901012,0.220626,4.532551,0.283082,0.000578,0.021467,62,Saludable
BPC,Eléctricas,2020,3,0.864377,0.224093,4.462435,0.288814,-0.003898,0.000552,60,Saludable
BPC,Eléctricas,2020,4,0.689864,0.218251,4.581889,0.279182,-0.010785,-0.018178,56,Observación
BPC,Eléctricas,2021,1,0.628049,0.215335,4.643929,0.274429,-0.00209,-0.005797,57,Observación
BPC,Eléctricas,2021,2,0.978289,0.241113,4.147427,0.31772,-0.005829,0.027941,65,Saludable
BPC,Eléctricas,2021,3,0.806296,0.239276,4.179275,0.314537,-0.010276,-0.012666,56,Observación
BPC,Eléctricas,2021,4,0.944649,0.247734,4.036586,0.329317,-0.003019,0.00819,64,Saludable
BPC,Eléctricas,2022,1,0.580516,0.214978,4.651636,0.27385,0.002504,-0.039327,57,Observación
BPC,Eléctricas,2022,2,0.800555,0.209061,4.783302,0.264319,-0.000933,-0.008408,57,Observación
BPC,Eléctricas,2022,3,0.740965,0.213959,4.673786,0.272199,-0.009342,-0.003168,56,Observación
BPC,Eléctricas,2022,4,0.603416,0.204023,4.901402,0.256318,-0.008979,-0.02135,56,Observación
BPC,Eléctricas,2023,1,0.630538,0.195333,5.119463,0.24275,0.016259,0.005284,58,Observación
BPC,Eléctricas,2023,2,0.708515,0.195739,5.108853,0.243377,0.000662,0.001167,57,Observación
BPC,Eléctricas,2023,3,0.743097,0.189545,5.275782,0.233875,-0.001759,-0.009387,57,Observación
BPC,Eléctricas,2023,4,0.650884,0.186416,5.364334,0.22913,-0.000991,-0.004833,57,Observación
BPC,Eléctricas,2024,1,0.63969,0.170108,5.878629,0.204976,0.011311,-0.008563,58,Observación
BPC,Eléctricas,2024,2,0.763944,0.162246,6.163469,0.193668,0.002027,-0.007376,57,Observación
BPC,Eléctricas,2024,3,0.752497,0.159618,6.264971,0.189935,0.000455,-0.002674,57,Observación
BPC,Eléctricas,2024,4,0.706222,0.158303,6.31698,0.188077,-0.012113,-0.013656,56,Observación
BPC,Eléctricas,2025,1,0.817143,0.152995,6.536148,0.180631,0.012072,0.005729,59,Observación
BPC,Eléctricas,2025,2,0.704476,0.140979,7.093245,0.164116,0.00461,-0.009442,57,Observación
BPC,Eléctricas,2025,3,0.661886,0.127677,7.832259,0.146364,0.010429,-0.004979,58,Observación
BPC,Eléctricas,2025,4,0.616361,0.121849,8.206884,0.138756,-0.006797,-0.013389,56,Observación
DTC,Comercio,2025,2,1.363592,0.668817,1.495177,2.019479,-0.027055,-0.008628,59,Observación
DTC,Comercio,2025,3,1.353796,0.682599,1.464989,2.15059,0.11604,0.1645,68,Saludable
DTC,Comercio,2025,4,1.115959,0.668399,1.496113,2.015671,0.051397,0.006373,53,Observación
DTC,Comercio,2026,1,1.105755,0.667359,1.498443,2.006247,-0.05381,-0.056767,44,Observación
EEO,Eléctricas,2013,2,0.744089,0.543505,1.839908,1.190606,0.090835,0.055427,53,Observación
EEO,Eléctricas,2013,3,0.75877,0.510948,1.957146,1.044783,0.073218,0.001781,55,Observación
EEO,Eléctricas,2013,4,0.7617,0.527425,1.896003,1.116068,0.026904,0.062699,49,Observación
EEO,Eléctricas,2014,1,0.779504,0.481002,2.078992,0.926791,0.070535,-0.025221,57,Observación
EEO,Eléctricas,2014,2,0.837644,0.4653,2.149153,0.870207,0.075912,0.044315,60,Saludable
EEO,Eléctricas,2014,3,0.845469,0.449769,2.223363,0.817425,0.042827,0.013401,59,Observación
EEO,Eléctricas,2014,4,0.767592,0.468379,2.135021,0.881041,0.021004,0.056737,54,Observación
EEO,Eléctricas,2015,1,0.6786,0.498116,2.007565,0.992492,-0.051885,0.00429,46,Observación
EEO,Eléctricas,2015,2,0.69704,0.484697,2.063143,0.940607,0.049376,0.02205,55,Observación
EEO,Eléctricas,2015,3,0.740918,0.466218,2.144919,0.873424,0.05748,0.02087,57,Observación
EEO,Eléctricas,2015,4,0.783906,0.446035,2.241978,0.805167,0.087881,0.048244,61,Saludable
EEO,Eléctricas,2016,1,0.667479,0.519884,1.923507,1.082829,-0.130515,0.003225,37,Riesgo
EEO,Eléctricas,2016,2,0.731744,0.506684,1.973617,1.027098,0.070098,0.041465,55,Observación
EEO,Eléctricas,2016,3,0.756996,0.453525,2.204952,0.829914,0.074872,-0.029681,59,Observación
EEO,Eléctricas,2016,4,0.78645,0.516454,1.936282,1.068061,-0.0013,0.128672,48,Observación
EEO,Eléctricas,2017,1,0.754807,0.515047,1.94157,1.062056,-0.022731,-0.025573,47,Observación
EEO,Eléctricas,2017,2,0.742157,0.50661,1.973906,1.026794,0.00199,-0.015144,49,Observación
EEO,Eléctricas,2017,3,0.725588,0.514424,1.943921,1.059403,-0.014554,0.001297,47,Observación
EEO,Eléctricas,2017,4,0.61629,0.568648,1.758557,1.318292,0.047324,0.178988,47,Observación
EEO,Eléctricas,2018,1,0.591706,0.571916,1.748509,1.33599,-0.017563,-0.010063,41,Observación
EEO,Eléctricas,2018,2,0.631176,0.564599,1.771168,1.296734,0.055971,0.038226,48,Observación
EEO,Eléctricas,2018,3,0.653194,0.546903,1.828479,1.207031,0.050909,0.009864,49,Observación
EEO,Eléctricas,2018,4,0.645791,0.543756,1.839061,1.191809,0.057244,0.049952,50,Observación
EEO,Eléctricas,2019,1,0.556433,0.558556,1.790331,1.265292,-0.048673,-0.016778,40,Observación
EEO,Eléctricas,2019,2,0.58727,0.552027,1.811506,1.232278,0.077338,0.061637,51,Observación
EEO,Eléctricas,2019,3,0.612156,0.552299,1.810613,1.233627,0.049307,0.049939,48,Observación
EEO,Eléctricas,2019,4,0.629453,0.540132,1.851398,1.174532,0.059466,0.031436,50,Observación
EEO,Eléctricas,2020,1,0.685317,0.544172,1.837655,1.193809,0.035439,0.044621,48,Observación
EEO,Eléctricas,2020,2,0.744667,0.568345,1.759493,1.316667,0.022588,0.079855,45,Observación
EEO,Eléctricas,2020,3,0.712825,0.68856,1.452306,2.210893,-0.178193,0.139022,19,Riesgo
EEO,Eléctricas,2020,4,0.642342,0.71237,1.403765,2.476687,-0.108727,-0.034949,20,Riesgo
EEO,Eléctricas,2021,1,0.622911,0.701598,1.425318,2.351179,-0.008605,-0.044394,29,Riesgo
EEO,Eléctricas,2021,2,0.645254,0.684281,1.461389,2.167371,0.068216,0.009626,37,Riesgo
EEO,Eléctricas,2021,3,0.66187,0.657012,1.522042,1.915553,0.072685,-0.012598,40,Observación
EEO,Eléctricas,2021,4,0.654441,0.636465,1.571179,1.750764,0.033105,-0.025287,39,Riesgo
EEO,Eléctricas,2022,1,0.658653,0.656398,1.523465,1.910346,-0.035363,0.020599,31,Riesgo
EEO,Eléctricas,2022,2,0.688098,0.635573,1.573384,1.744031,0.065891,0.00498,42,Observación
EEO,Eléctricas,2022,3,0.626886,0.621477,1.609071,1.641836,0.046514,0.007537,41,Observación
EEO,Eléctricas,2022,4,0.706568,0.564453,1.771625,1.295966,0.00802,-0.123949,44,Observación
EEO,Eléctricas,2023,1,0.707861,0.589896,1.695215,1.438405,-0.029896,0.030288,38,Riesgo
EEO,Eléctricas,2023,2,0.930375,0.595006,1.680657,1.469169,0.071414,0.084932,52,Observación
EEO,Eléctricas,2023,3,1.163235,0.60281,1.658898,1.517678,0.061538,0.08239,62,Saludable
EEO,Eléctricas,2023,4,0.742353,0.585033,1.709307,1.409828,0.042843,-0.001828,45,Observación
EEO,Eléctricas,2024,1,0.731093,0.625266,1.599319,1.66856,-0.091379,0.006175,30,Riesgo
EEO,Eléctricas,2024,2,0.77702,0.603405,1.657262,1.521462,0.032926,-0.024011,42,Observación
EEO,Eléctricas,2024,3,0.834861,0.579881,1.724492,1.380278,0.054571,-0.004477,48,Observación
EEO,Eléctricas,2024,4,1.075571,0.560458,1.784254,1.275097,0.121968,0.07239,65,Saludable
EEO,Eléctricas,2025,1,1.019976,0.583281,1.714439,1.399699,-0.064135,-0.01288,47,Observación
EEO,Eléctricas,2025,2,0.972397,0.568971,1.75756,1.320027,0.038752,0.004265,54,Observación
EEO,Eléctricas,2025,3,1.028603,0.554779,1.80252,1.246074,0.065211,0.031256,61,Saludable
EEO,Eléctricas,2025,4,1.061817,0.511862,1.953652,1.0486,0.065363,-0.028303,67,Saludable
EEO,Eléctricas,2026,1,0.798192,0.566919,1.763921,1.309036,-0.149914,-0.041843,31,Riesgo
ELP,Eléctricas,2013,2,2.020954,0.485181,2.061087,0.94243,0.067348,0.009877,91,Excelente
ELP,Eléctricas,2013,3,1.915189,0.4827,2.071681,0.933112,0.055787,0.050721,91,Excelente
ELP,Eléctricas,2013,4,1.963596,0.466275,2.144659,0.873622,0.043539,0.011426,91,Excelente
ELP,Eléctricas,2014,1,1.456399,0.522447,1.914072,1.094006,-0.048009,0.063968,77,Saludable
ELP,Eléctricas,2014,2,1.581629,0.499669,2.001324,0.998678,0.040706,-0.006671,88,Excelente
ELP,Eléctricas,2014,3,1.614197,0.475592,2.102643,0.906912,0.058472,0.009874,91,Excelente
ELP,Eléctricas,2014,4,1.497712,0.477472,2.094365,0.913773,0.022333,0.026012,88,Excelente
ELP,Eléctricas,2015,1,1.266247,0.518747,1.927722,1.07791,-0.034341,0.048479,69,Saludable
ELP,Eléctricas,2015,2,1.329437,0.495702,2.017341,0.982954,0.052236,0.004151,81,Excelente
ELP,Eléctricas,2015,3,1.252267,0.494483,2.022314,0.978173,0.030766,0.02828,75,Saludable
ELP,Eléctricas,2015,4,1.00175,0.53376,1.873502,1.144818,0.022067,0.108168,58,Observación
ELP,Eléctricas,2016,1,0.903011,0.546662,1.829285,1.205858,-0.05146,-0.024465,46,Observación
ELP,Eléctricas,2016,2,1.076812,0.530447,1.885204,1.129685,0.041744,0.005771,64,Saludable
ELP,Eléctricas,2016,3,1.116969,0.530495,1.88503,1.129904,0.043491,0.043597,66,Saludable
ELP,Eléctricas,2016,4,1.288825,0.51674,1.935209,1.069279,0.031767,0.0024,75,Saludable
ELP,Eléctricas,2017,1,1.176217,0.557431,1.793944,1.259534,-0.043614,0.044319,59,Observación
ELP,Eléctricas,2017,2,1.205019,0.546249,1.830667,1.203852,0.022732,-0.002471,67,Saludable
ELP,Eléctricas,2017,3,1.364097,0.527395,1.896112,1.115932,0.041594,4.1e-05,79,Saludable
ELP,Eléctricas,2017,4,0.939731,0.523459,1.910369,1.098455,0.041862,0.033257,58,Observación
ELP,Eléctricas,2018,1,0.903221,0.530558,1.884809,1.130187,-0.012076,0.002863,51,Observación
ELP,Eléctricas,2018,2,1.040366,0.518271,1.929491,1.075858,0.042846,0.016249,63,Saludable
ELP,Eléctricas,2018,3,1.474495,0.507286,1.971273,1.029575,0.042642,0.019395,86,Excelente
ELP,Eléctricas,2018,4,1.054793,0.491711,2.033717,0.967383,0.03468,0.002974,66,Saludable
ELP,Eléctricas,2019,1,0.947683,0.522447,1.914071,1.094007,-0.036567,0.025442,52,Observación
ELP,Eléctricas,2019,2,1.074092,0.515498,1.939871,1.063976,0.033027,0.018212,65,Saludable
ELP,Eléctricas,2019,3,1.026648,0.50748,1.97052,1.030375,0.039423,0.022501,64,Saludable
ELP,Eléctricas,2019,4,0.816854,0.530068,1.88655,1.127966,0.018358,0.067306,49,Observación
ELP,Eléctricas,2020,1,0.743742,0.580737,1.72195,1.385138,-0.076435,0.035182,35,Riesgo
ELP,Eléctricas,2020,2,0.908757,0.593201,1.685769,1.458218,0.017982,0.049173,47,Observación
ELP,Eléctricas,2020,3,0.99376,0.591057,1.691885,1.445327,0.019605,0.014258,52,Observación
ELP,Eléctricas,2020,4,1.140814,0.546948,1.828329,1.20725,0.047711,-0.054294,66,Saludable
ELP,Eléctricas,2021,1,1.118575,0.563151,1.775722,1.289121,-0.033755,0.002085,57,Observación
ELP,Eléctricas,2021,2,1.101291,0.544487,1.836592,1.195326,0.033571,-0.008779,63,Saludable
ELP,Eléctricas,2021,3,1.129643,0.522111,1.9153,1.092538,0.045893,-0.003078,68,Saludable
ELP,Eléctricas,2021,4,0.977448,0.524525,1.906485,1.103162,-0.000816,0.004257,56,Observación
ELP,Eléctricas,2022,1,0.845388,0.584989,1.709434,1.409575,-0.08859,0.044195,36,Riesgo
ELP,Eléctricas,2022,2,0.917874,0.557389,1.794079,1.259321,0.019271,-0.044287,51,Observación
ELP,Eléctricas,2022,3,1.005858,0.545309,1.833821,1.199298,0.050537,0.022627,60,Saludable
ELP,Eléctricas,2022,4,0.979885,0.519462,1.925069,1.081,0.037317,-0.018479,60,Saludable
ELP,Eléctricas,2023,1,0.829308,0.592882,1.686677,1.456289,-0.103146,0.058593,34,Riesgo
ELP,Eléctricas,2023,2,0.815288,0.544464,1.836668,1.195217,0.068901,-0.04471,52,Observación
ELP,Eléctricas,2023,3,0.931417,0.527088,1.897216,1.114559,0.053642,0.014929,58,Observación
ELP,Eléctricas,2023,4,0.927386,0.537787,1.859474,1.163503,0.024111,0.047815,54,Observación
ELP,Eléctricas,2024,1,0.789612,0.598654,1.670413,1.491617,-0.103976,0.031914,31,Riesgo
ELP,Eléctricas,2024,2,0.809206,0.565944,1.766958,1.303852,0.045,-0.033749,47,Observación
ELP,Eléctricas,2024,3,0.970018,0.549163,1.820954,1.218095,0.04495,0.006054,57,Observación
ELP,Eléctricas,2024,4,0.984613,0.536319,1.864562,1.156656,0.042262,0.013392,59,Observación
ELP,Eléctricas,2025,1,0.888771,0.583926,1.712545,1.40342,-0.064918,0.042073,40,Observación
ELP,Eléctricas,2025,2,0.929095,0.544961,1.834994,1.197614,0.056114,-0.034321,56,Observación
ELP,Eléctricas,2025,3,0.955303,0.523216,1.911256,1.097386,0.070209,0.0214,61,Saludable
ELP,Eléctricas,2025,4,0.953344,0.528167,1.89334,1.119395,0.021272,0.031989,56,Observación
ELP,Eléctricas,2026,1,0.78063,0.582323,1.717259,1.394196,-0.109107,0.006407,33,Riesgo
DMT,Comercio,2020,1,2.493877,0.553876,1.805457,1.241531,0.010679,0.062779,80,Excelente
DMT,Comercio,2020,2,2.392731,0.558797,1.789559,1.266521,-0.034515,-0.023754,76,Saludable
DMT,Comercio,2020,3,2.665497,0.527052,1.897344,1.114399,-0.013762,-0.079953,81,Excelente
DMT,Comercio,2020,4,2.707644,0.499484,2.002067,0.997938,0.090419,0.030359,92,Excelente
DMT,Comercio,2021,1,2.109663,0.559292,1.787975,1.269075,-0.042246,0.087729,75,Saludable
DMT,Comercio,2021,2,2.28468,0.535719,1.866651,1.153867,0.075608,0.020996,87,Excelente
DMT,Comercio,2021,3,2.163917,0.541734,1.845924,1.182139,0.046509,0.060245,84,Excelente
DMT,Comercio,2021,4,2.145655,0.525268,1.903791,1.10645,0.087198,0.049488,89,Excelente
DMT,Comercio,2022,1,1.596094,0.644085,1.55259,1.809671,-0.172254,0.104084,58,Observación
DMT,Comercio,2022,2,2.456153,0.628805,1.590318,1.694002,0.037927,-0.004805,75,Saludable
DMT,Comercio,2022,3,2.55086,0.617405,1.619682,1.613721,0.01458,-0.015657,74,Saludable
DMT,Comercio,2022,4,2.212966,0.618345,1.61722,1.620168,0.057986,0.060598,78,Saludable
DMT,Comercio,2023,1,2.003003,0.650789,1.536597,1.863594,-0.07722,0.00851,64,Saludable
DMT,Comercio,2023,2,1.748117,0.670873,1.490596,2.038338,0.007193,0.068655,69,Saludable
DMT,Comercio,2023,3,1.907874,0.664709,1.504418,1.982482,0.016997,-0.001699,70,Saludable
DMT,Comercio,2023,4,2.04981,0.650197,1.537995,1.858765,0.10575,0.059884,78,Saludable
DMT,Comercio,2024,1,1.849424,0.686277,1.457137,2.187526,-0.089813,0.014857,59,Observación
DMT,Comercio,2024,2,1.898176,0.67093,1.490468,2.038869,0.032201,-0.015938,71,Saludable
DMT,Comercio,2024,3,1.865384,0.648744,1.54144,1.846928,0.187079,0.1121,78,Saludable
DMT,Comercio,2024,4,2.289072,0.670125,1.492258,2.031455,0.090745,0.161443,75,Saludable
DMT,Comercio,2025,1,2.115775,0.673791,1.48414,2.065517,-0.049505,-0.038825,64,Saludable
DMT,Comercio,2025,2,1.929542,0.667729,1.497613,2.009593,0.089575,0.069698,75,Saludable
DMT,Comercio,2025,3,1.910238,0.62913,1.589497,1.696363,0.157917,0.037404,80,Excelente
DMT,Comercio,2025,4,1.716502,0.664784,1.504248,1.98315,0.035193,0.145297,71,Saludable
DMT,Comercio,2026,1,1.544497,0.717538,1.393654,2.540303,-0.238804,-0.096638,52,Observación
DIN,Industrial,2013,2,2.406668,0.442962,2.257532,0.795209,0.083545,0.039455,96,Excelente
DIN,Industrial,2013,3,2.370635,0.429821,2.326551,0.753834,0.020063,-0.003447,92,Excelente
DIN,Industrial,2013,4,2.256991,0.437096,2.287826,0.776502,0.047084,0.060617,93,Excelente
DIN,Industrial,2014,1,2.249472,0.430702,2.321791,0.756549,0.033905,0.022293,93,Excelente
DIN,Industrial,2014,2,2.127473,0.440906,2.268056,0.788609,0.016741,0.035298,90,Excelente
DIN,Industrial,2014,3,2.192839,0.422999,2.36407,0.7331,0.050224,0.017631,94,Excelente
DIN,Industrial,2014,4,2.487044,0.378375,2.642882,0.608686,0.036142,-0.038239,95,Excelente
DIN,Industrial,2015,1,2.632193,0.347982,2.873713,0.533698,0.057037,0.007761,97,Excelente
DIN,Industrial,2015,2,2.280632,0.399447,2.50346,0.665132,0.0251,0.112951,94,Excelente
DIN,Industrial,2015,3,2.459657,0.370503,2.69903,0.588571,0.011067,-0.035421,93,Excelente
DIN,Industrial,2015,4,3.230448,0.417204,2.396907,0.715865,0.097369,0.185301,99,Excelente
DIN,Industrial,2016,1,3.213044,0.399959,2.500258,0.666552,0.033946,0.004233,95,Excelente
DIN,Industrial,2016,2,3.20281,0.401391,2.491338,0.670539,0.035348,0.037825,95,Excelente
DIN,Industrial,2016,3,3.081268,0.402227,2.486159,0.672876,0.015565,0.016986,93,Excelente
DIN,Industrial,2016,4,3.352481,0.378819,2.639785,0.609836,0.057686,0.017829,97,Excelente
DIN,Industrial,2017,1,4.066869,0.414567,2.412155,0.708137,0.061367,0.126177,96,Excelente
DIN,Industrial,2017,2,3.661481,0.425934,2.34778,0.741961,-0.003347,0.016388,90,Excelente
DIN,Industrial,2017,3,4.064984,0.400766,2.495221,0.668796,0.04455,0.000675,96,Excelente
DIN,Industrial,2017,4,4.389953,0.376187,2.658253,0.603044,0.070128,0.027965,98,Excelente
DIN,Industrial,2018,1,3.629063,0.391734,2.552754,0.644017,0.037513,0.064032,95,Excelente
DIN,Industrial,2018,2,3.548255,0.388853,2.571667,0.636267,0.00147,-0.003251,92,Excelente
DIN,Industrial,2018,3,3.708153,0.38786,2.578253,0.633612,-0.005119,-0.006733,92,Excelente
DIN,Industrial,2018,4,3.827307,0.381663,2.620114,0.617241,0.042558,0.03211,95,Excelente
DIN,Industrial,2019,1,3.867388,0.380135,2.630643,0.613256,0.006259,0.003781,93,Excelente
